name dummy x y z omega phi kappa
585322849 585322849 -640426.575 -1043302.948 235.268 -0.159 -1.906 102.999
585323359 585323359 -640427.721 -1043298.248 235.25 0.11 -1.783 102.663
585323889 585323889 -640428.84 -1043293.606 235.238 0.042 -1.761 102.183
585324441 585324441 -640429.853 -1043289.102 235.238 -0.474 -2.077 100.035
585325036 585325036 -640430.517 -1043284.443 235.256 -0.665 -1.69 93.11
585325696 585325696 -640430.381 -1043279.62 235.253 -0.902 -2.568 81.622
585326377 585326377 -640429.212 -1043274.883 235.27 -1.5 -2.083 67.969
585327058 585327058 -640426.805 -1043270.497 235.27 -1.798 -2.089 52.476
585327719 585327719 -640423.124 -1043266.775 235.253 -0.485 -2.704 38.351
585328361 585328361 -640418.415 -1043263.66 235.242 -0.596 -2.172 26.854
585328909 585328909 -640413.619 -1043261.511 235.198 -0.303 -2.445 20.537
585329397 585329397 -640408.879 -1043259.727 235.16 0.372 -1.966 19.905
585329886 585329886 -640403.866 -1043257.803 235.082 0.804 -2.546 20.549
585330333 585330333 -640399.043 -1043255.87 235.044 0.857 -2.109 20.966
585330780 585330780 -640394.082 -1043253.87 235.005 0.771 -2.288 20.856
585331206 585331206 -640389.21 -1043251.909 234.973 0.687 -2.321 20.877
585331632 585331632 -640384.203 -1043249.892 234.931 0.537 -2.136 20.837
585332028 585332028 -640379.474 -1043247.998 234.889 0.53 -1.967 20.769
585332423 585332423 -640374.716 -1043246.095 234.849 0.48 -2.077 20.769
585332818 585332818 -640369.913 -1043244.171 234.813 0.395 -2.028 20.789
585333213 585333213 -640365.069 -1043242.23 234.778 0.321 -1.927 20.712
585333608 585333608 -640360.189 -1043240.28 234.733 0.226 -2.02 20.735
585333983 585333983 -640355.52 -1043238.409 234.697 0.056 -1.908 20.645
585334359 585334359 -640350.835 -1043236.551 234.66 0.085 -1.882 20.595
585334734 585334734 -640346.15 -1043234.685 234.631 -0.226 -2.009 20.409
585335109 585335109 -640341.429 -1043232.837 234.592 -0.274 -1.877 20.195
585335484 585335484 -640336.688 -1043230.999 234.549 -0.271 -1.844 20.235
585335859 585335859 -640331.937 -1043229.145 234.508 -0.399 -1.908 20.301
585336234 585336234 -640327.17 -1043227.282 234.473 -0.51 -1.879 20.302
585336609 585336609 -640322.396 -1043225.415 234.434 -0.526 -1.85 20.37
585336984 585336984 -640317.618 -1043223.535 234.402 -0.785 -1.827 20.342
585337360 585337360 -640312.828 -1043221.658 234.379 -0.886 -1.962 20.375
585337735 585337735 -640308.003 -1043219.759 234.343 -1.017 -1.87 20.52
585338110 585338110 -640303.153 -1043217.828 234.31 -1.263 -1.987 20.692
585338485 585338485 -640298.237 -1043215.86 234.268 -1.399 -1.858 20.816
585338840 585338840 -640293.556 -1043213.975 234.235 -1.617 -1.848 20.923
585339195 585339195 -640288.854 -1043212.075 234.201 -1.788 -1.857 20.959
585339550 585339550 -640284.145 -1043210.167 234.175 -1.766 -1.811 21.273
585339905 585339905 -640279.461 -1043208.241 234.147 -1.698 -2.242 21.597
585340260 585340260 -640274.777 -1043206.252 234.129 -2.271 -1.75 21.946
585340616 585340616 -640270.111 -1043204.225 234.071 -2.935 -1.699 22.2
585340971 585340971 -640265.421 -1043202.209 234.046 -2.702 -1.661 22.631
585341326 585341326 -640260.75 -1043200.124 234 -2.872 -1.564 23.48
585341681 585341681 -640256.092 -1043197.972 233.951 -2.79 -1.758 24.195
585342036 585342036 -640251.446 -1043195.727 233.91 -3.519 -1.619 24.83
585342391 585342391 -640246.768 -1043193.463 233.861 -3.035 -1.503 25.168
585342746 585342746 -640242.095 -1043191.153 233.811 -2.995 -1.573 25.603
585343101 585343101 -640237.419 -1043188.805 233.759 -2.796 -1.56 26.011
585343457 585343457 -640232.762 -1043186.412 233.723 -2.761 -1.698 26.621
585343812 585343812 -640228.122 -1043183.948 233.68 -3.079 -1.507 27.016
585344167 585344167 -640223.497 -1043181.46 233.631 -3.175 -1.469 27.695
585344522 585344522 -640218.918 -1043178.912 233.587 -3.415 -1.572 28.375
585344877 585344877 -640214.356 -1043176.363 233.548 -2.406 -1.528 28.91
585345232 585345232 -640209.856 -1043173.766 233.519 -2.44 -1.455 29.396
585345587 585345587 -640205.415 -1043171.143 233.487 -2.436 -1.578 29.738
585345943 585345943 -640200.994 -1043168.482 233.441 -2.8 -1.425 29.912
585346297 585346297 -640196.585 -1043165.843 233.391 -2.764 -1.416 29.833
585346653 585346653 -640192.209 -1043163.231 233.364 -2.952 -1.473 29.42
585347008 585347008 -640187.827 -1043160.68 233.332 -3.039 -1.245 28.566
585347363 585347363 -640183.432 -1043158.231 233.28 -2.813 -1.559 27.905
585347718 585347718 -640179.049 -1043155.838 233.253 -2.555 -1.456 27.569
585348074 585348074 -640174.708 -1043153.481 233.22 -2.273 -1.556 28.013
585348429 585348429 -640170.438 -1043151.115 233.193 -1.137 -1.795 29.403
585348784 585348784 -640166.288 -1043148.627 233.175 -0.466 -1.6 31.619
585349139 585349139 -640162.31 -1043145.983 233.147 -0.807 -1.772 33.384
585349494 585349494 -640158.429 -1043143.276 233.131 -0.84 -1.816 34.285
585349850 585349850 -640154.615 -1043140.555 233.12 -0.832 -1.785 34.659
585350225 585350225 -640150.638 -1043137.697 233.104 -0.254 -1.734 35.434
585350600 585350600 -640146.767 -1043134.806 233.097 -0.12 -2.084 36.262
585350975 585350975 -640142.969 -1043131.892 233.089 -0.173 -1.867 36.841
585351350 585351350 -640139.244 -1043128.978 233.061 -0.003 -2.052 37.437
585351725 585351725 -640135.586 -1043126.062 233.051 0.272 -2.183 38.007
585352121 585352121 -640131.799 -1043122.97 233.045 0.271 -1.949 38.368
585352517 585352517 -640128.074 -1043119.9 233.029 0.021 -1.824 38.268
585352913 585352913 -640124.373 -1043116.891 232.986 -0.386 -1.608 37.085
585353330 585353330 -640120.514 -1043113.95 232.947 -0.474 -1.098 35.027
585353747 585353747 -640116.82 -1043111.384 232.906 -0.244 -0.966 32.389
585354206 585354206 -640112.906 -1043108.955 232.863 -0.872 -1.673 28.057
585354688 585354688 -640108.67 -1043106.853 232.865 -1.987 -1.338 21.193
585355192 585355192 -640104.118 -1043105.298 232.822 -1.412 -2.186 15.14
585355695 585355695 -640099.366 -1043104.185 232.784 -1.158 -1.657 9.179
585356198 585356198 -640094.405 -1043103.564 232.707 -0.492 -1.731 3.544
585356701 585356701 -640089.326 -1043103.421 232.666 0.362 -2.072 -1.588
585357205 585357205 -640084.218 -1043103.67 232.661 -0.086 -2.004 -6.848
585357708 585357708 -640079.139 -1043104.413 232.649 0.402 -1.851 -11.634
585358211 585358211 -640074.115 -1043105.5 232.629 -0.549 -2.216 -15.977
585358714 585358714 -640069.131 -1043107.088 232.63 -0.556 -2.854 -21.795
585359197 585359197 -640064.431 -1043109.101 232.662 -0.142 -2.835 -26.056
585359679 585359679 -640059.833 -1043111.408 232.707 0.46 -2.518 -28.574
585400161 585400161 -640055.313 -1043113.814 232.724 0.253 -2.34 -29.479
585400643 585400643 -640050.833 -1043116.271 232.728 0.162 -3.01 -29.925
585401126 585401126 -640046.334 -1043118.761 232.765 0 -2.45 -30.244
585401608 585401608 -640041.937 -1043121.262 232.784 0.49 -2.808 -30.44
585402090 585402090 -640037.51 -1043123.789 232.811 0.49 -2.454 -30.984
585402572 585402572 -640033.094 -1043126.351 232.829 0.168 -2.411 -31.26
585403054 585403054 -640028.725 -1043128.91 232.84 0.363 -2.648 -31.089
585403536 585403536 -640024.388 -1043131.419 232.87 0.314 -2.427 -30.867
585404018 585404018 -640020.152 -1043133.839 232.879 -0.057 -2.69 -30.741
585404501 585404501 -640016.007 -1043136.227 232.908 0.21 -2.125 -30.708
585405003 585405003 -640011.806 -1043138.641 232.922 0.392 -2.111 -30.616
585405525 585405525 -640007.558 -1043141.048 232.956 0.165 -2.444 -30.634
585406047 585406047 -640003.501 -1043143.383 232.984 0.67 -2.204 -30.459
585406570 585406570 -639999.776 -1043145.467 233.015 0.223 -2.318 -30.739
585407221 585407221 -639995.58 -1043147.87 233.034 0.783 -2.326 -29.553
585407874 585407874 -639991.643 -1043149.788 233.058 1.36 -2.576 -22.386
585408717 585408717 -639986.706 -1043150.89 233.1 1.058 -2.716 -4.791
585409558 585409558 -639981.827 -1043150.087 233.1 -0.526 -1.288 18.717
585410352 585410352 -639977.533 -1043147.353 233.019 1.256 -1.099 43.861
585411072 585411072 -639974.532 -1043143.074 232.881 0.73 -2.315 59.635
585411791 585411791 -639971.659 -1043137.622 232.816 1.083 -3.495 62.021
585412342 585412342 -639969.33 -1043132.976 232.869 0.928 -3.69 62.58
585412866 585412866 -639967.139 -1043128.406 232.963 0.317 -3.092 63.474
585413391 585413391 -639965.055 -1043123.933 233.031 0.892 -3.21 65.331
585413948 585413948 -639963.165 -1043119.296 233.142 0.679 -3.847 67.945
585414505 585414505 -639961.559 -1043114.808 233.264 0.581 -3.2 70.25
585415103 585415103 -639960.167 -1043110.216 233.404 -0.347 -4.369 72.936
585415721 585415721 -639959.025 -1043105.603 233.612 -0.806 -4.816 76.207
585416380 585416380 -639958.061 -1043100.834 233.845 -0.975 -4.683 77.673
585417086 585417086 -639957.1 -1043096.123 234.064 -0.376 -4.723 76.926
585417857 585417857 -639955.878 -1043091.547 234.266 0.925 -4.058 72.08
585418710 585418710 -639954.072 -1043086.95 234.387 1.274 -3.109 63.102
585419562 585419562 -639951.389 -1043082.81 234.405 1.265 -2.664 50.277
585420414 585420414 -639947.766 -1043079.29 234.363 1.412 -1.105 38.301
585421288 585421288 -639943.726 -1043076.679 234.266 2.308 -1.234 28.138
585422233 585422233 -639939.198 -1043074.714 234.153 1.429 -1.385 18.367
